,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g[656555],-0.119,0.137,-0.379,0.133,0.001,0.002,17121.0,5563.0,1.0
g[702358],0.038,0.15,-0.243,0.319,0.001,0.002,16548.0,5454.0,1.0
g[680474],0.154,0.145,-0.12,0.422,0.001,0.002,15183.0,5504.0,1.0
g[672640],-0.007,0.15,-0.282,0.279,0.001,0.002,16499.0,5508.0,1.0
g[665862],0.069,0.159,-0.239,0.365,0.001,0.002,22478.0,5127.0,1.0
g[687231],-0.025,0.146,-0.294,0.26,0.001,0.002,20609.0,4775.0,1.0
g[805779],0.132,0.166,-0.175,0.443,0.001,0.002,15238.0,5366.0,1.0
g[690993],-0.047,0.142,-0.318,0.214,0.001,0.002,16108.0,5375.0,1.0
g[683083],-0.094,0.163,-0.396,0.226,0.001,0.002,17718.0,5320.0,1.0
g[681393],0.002,0.158,-0.291,0.303,0.001,0.002,21164.0,5236.0,1.0
g[673995],0.087,0.162,-0.212,0.394,0.001,0.002,20364.0,5470.0,1.0
g[682177],0.026,0.16,-0.278,0.324,0.001,0.002,18397.0,5316.0,1.0
g[694376],0.022,0.173,-0.297,0.359,0.001,0.002,19330.0,5822.0,1.0
g[686797],-0.02,0.158,-0.317,0.281,0.001,0.002,18461.0,5434.0,1.0
g[702616],0.061,0.157,-0.231,0.359,0.001,0.002,17583.0,4708.0,1.0
g[694377],-0.016,0.172,-0.332,0.318,0.001,0.003,16890.0,5101.0,1.0
g[686554],0.064,0.162,-0.231,0.372,0.001,0.002,17614.0,5737.0,1.0
g[695238],0.028,0.176,-0.294,0.366,0.001,0.002,19437.0,5830.0,1.0
g[676572],0.038,0.158,-0.267,0.324,0.001,0.002,21054.0,5320.0,1.0
g[686765],0.014,0.166,-0.311,0.32,0.001,0.002,18075.0,5490.0,1.0
g[623520],0.033,0.156,-0.253,0.332,0.001,0.002,19433.0,5794.0,1.0
g[677870],-0.07,0.168,-0.399,0.235,0.001,0.002,18356.0,5898.0,1.0
g[665782],0.054,0.176,-0.277,0.385,0.001,0.003,20064.0,5216.0,1.0
g[665953],0.041,0.17,-0.272,0.366,0.001,0.002,21447.0,5134.0,1.0
g[657061],-0.002,0.17,-0.333,0.302,0.001,0.002,19285.0,5573.0,1.0
g[691182],-0.022,0.172,-0.338,0.312,0.001,0.002,19562.0,4740.0,1.0
g[641779],0.043,0.164,-0.281,0.337,0.001,0.002,19683.0,5178.0,1.0
g[680718],-0.024,0.155,-0.311,0.268,0.001,0.002,17036.0,5535.0,1.0
g[700242],-0.007,0.16,-0.305,0.294,0.001,0.002,16766.0,5141.0,1.0
g[592348],-0.057,0.167,-0.385,0.249,0.001,0.002,19942.0,5641.0,1.0
g[701305],0.031,0.165,-0.282,0.34,0.001,0.002,20072.0,5448.0,1.0
g[669699],0.028,0.158,-0.271,0.322,0.001,0.002,18790.0,5636.0,1.0
g[677942],0.036,0.159,-0.273,0.334,0.001,0.002,17218.0,5676.0,1.0
g[593934],-0.059,0.167,-0.361,0.266,0.001,0.002,18612.0,5159.0,1.0
g[690291],-0.046,0.149,-0.323,0.237,0.001,0.002,20033.0,4876.0,1.0
g[695391],-0.084,0.146,-0.359,0.191,0.001,0.002,19551.0,5634.0,1.0
g[682868],-0.137,0.147,-0.4,0.157,0.001,0.002,16548.0,5198.0,1.0
g[641432],0.01,0.171,-0.316,0.326,0.001,0.003,22098.0,5244.0,1.0
g[681460],0.016,0.17,-0.291,0.346,0.001,0.002,20917.0,5474.0,1.0
g[660766],-0.077,0.152,-0.371,0.198,0.001,0.002,17869.0,5988.0,1.0
g[669137],-0.004,0.171,-0.352,0.301,0.001,0.003,14943.0,4649.0,1.0
g[668723],0.014,0.171,-0.315,0.331,0.001,0.002,20446.0,5121.0,1.0
g[668845],0.048,0.164,-0.267,0.354,0.001,0.002,18499.0,5503.0,1.0
g[660844],0.059,0.173,-0.262,0.39,0.001,0.003,21398.0,5304.0,1.0
g[668885],0.054,0.171,-0.269,0.373,0.001,0.002,17338.0,5178.0,1.0
g[686217],-0.002,0.172,-0.317,0.334,0.001,0.002,18422.0,6023.0,1.0
g[622268],-0.012,0.169,-0.321,0.316,0.001,0.002,19106.0,5402.0,1.0
g[688363],0.016,0.175,-0.334,0.328,0.001,0.002,19119.0,5282.0,1.0
