,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Jones, JaCoby]",-0.83,0.186,-1.197,-0.493,0.002,0.002,15205.0,5618.0,1.0
"alpha[Torreyes, Ronald]",-0.89,0.217,-1.289,-0.471,0.002,0.003,15860.0,5601.0,1.0
"alpha[Hoerner, Nico]",-0.888,0.213,-1.296,-0.5,0.002,0.003,14651.0,6250.0,1.0
"alpha[Castro, Harold]",-0.91,0.203,-1.284,-0.518,0.002,0.003,15315.0,5504.0,1.0
"alpha[Barrera, Luis]",-0.853,0.214,-1.263,-0.463,0.002,0.003,13734.0,5821.0,1.0
"alpha[Andreoli, John]",-0.869,0.208,-1.241,-0.46,0.002,0.003,16325.0,5828.0,1.0
"alpha[Berti, Jon]",-0.947,0.212,-1.346,-0.548,0.002,0.003,12908.0,5811.0,1.0
"alpha[Trout, Mike]",-0.906,0.123,-1.131,-0.667,0.001,0.001,11908.0,6609.0,1.0
"alpha[LaMarre, Ryan]",-0.899,0.209,-1.291,-0.507,0.002,0.003,13645.0,6169.0,1.0
"alpha[Senzel, Nick]",-0.939,0.145,-1.21,-0.663,0.001,0.002,14520.0,6146.0,1.0
"alpha[Rosario, Amed]",-0.881,0.205,-1.249,-0.48,0.002,0.003,15057.0,4624.0,1.0
"alpha[Adrianza, Ehire]",-0.941,0.211,-1.335,-0.546,0.002,0.003,14847.0,5901.0,1.0
"alpha[Acuña Jr., Ronald]",-0.88,0.217,-1.28,-0.474,0.002,0.003,12377.0,5201.0,1.0
"alpha[Dahl, David]",-0.875,0.209,-1.271,-0.495,0.002,0.003,15021.0,6141.0,1.0
"alpha[Hicks, Aaron]",-1.14,0.146,-1.402,-0.867,0.001,0.002,9772.0,6200.0,1.0
"alpha[Difo, Wilmer]",-0.932,0.207,-1.336,-0.559,0.002,0.002,14602.0,5754.0,1.0
"alpha[Quinn, Roman]",-0.853,0.181,-1.186,-0.509,0.002,0.002,13649.0,6041.0,1.0
"alpha[Pham, Tommy]",-0.809,0.183,-1.141,-0.453,0.001,0.002,15367.0,5943.0,1.0
"alpha[Schebler, Scott]",-0.899,0.206,-1.3,-0.531,0.002,0.003,13503.0,5922.0,1.0
"alpha[Kingery, Scott]",-0.859,0.214,-1.26,-0.457,0.002,0.003,15364.0,5753.0,1.0
"alpha[Fowler, Dustin]",-0.855,0.207,-1.232,-0.45,0.002,0.003,14651.0,5311.0,1.0
"alpha[Hurst, Scott]",-0.905,0.21,-1.307,-0.524,0.002,0.003,13746.0,5863.0,1.0
"alpha[Alford, Anthony]",-1.079,0.205,-1.462,-0.685,0.002,0.003,11126.0,6024.0,1.0
"alpha[Haggerty, Sam]",-0.816,0.207,-1.197,-0.423,0.002,0.003,14694.0,5898.0,1.0
"alpha[Haseley, Adam]",-1.043,0.195,-1.406,-0.672,0.002,0.002,12381.0,6168.0,1.0
"alpha[Wade Jr., LaMonte]",-0.93,0.214,-1.35,-0.545,0.002,0.003,15976.0,5219.0,1.0
