batter,n_gb,n_restarts,ref_exp_outs,cand_exp_outs,shortfall,pos_gap_ft
628451,190,20,0.7176698838054961,0.7157949623444783,0.0018749214610178644,42.83828972656239
628451,190,16,0.7176698838054961,0.7173840074949287,0.00028587631056742335,3.1979563153057637
628451,190,12,0.7176698838054961,0.7157758780385336,0.0018940057669625254,42.79089961860776
628451,190,10,0.7176698838054961,0.71766988373151,7.398615053944013e-11,0.004797549727786599
628451,190,8,0.7176698838054961,0.7156049610439249,0.0020649227615712196,40.688390513126365
571448,379,20,0.8021039360557319,0.8021039360563553,-6.233902283270254e-13,0.00015624047076761685
571448,379,16,0.8021039360557319,0.8021039360555015,2.304822999121825e-13,8.787855802905008e-05
571448,379,12,0.8021039360557319,0.8021039360554891,2.4280577548552174e-13,0.0001678507112575758
571448,379,10,0.8021039360557319,0.8021039360542087,1.5232259897857148e-12,0.0001381698928238217
571448,379,8,0.8021039360557319,0.8021039360542087,1.5232259897857148e-12,0.0001381698928238217
642180,85,20,0.8093665281889241,0.8093665281898191,-8.950618024528012e-13,0.0014140596597578367
642180,85,16,0.8093665281889241,0.8093665281879555,9.685585666829866e-13,0.0017317915770644573
642180,85,12,0.8093665281889241,0.8093603857798909,6.142409033182972e-06,4.23199317874396
642180,85,10,0.8093665281889241,0.8093665131981518,1.4990772290168763e-08,0.029260420862683156
642180,85,8,0.8093665281889241,0.8093665241359673,4.052956747990777e-09,0.03156786866279983
666135,144,20,0.7852128008314874,0.7845915729179084,0.0006212279135789922,10.103710228591957
666135,144,16,0.7852128008314874,0.7837293397620559,0.0014834610694314243,4.155195420324839
666135,144,12,0.7852128008314874,0.7835254446888614,0.0016873561426259398,12.808164231100308
666135,144,10,0.7852128008314874,0.7843296870674669,0.0008831137640205045,2.9717834327574524
666135,144,8,0.7852128008314874,0.7800803025587908,0.005132498272696573,26.99504449533909
665862,358,20,0.7743763594221817,0.7743763337027169,2.5719464891160726e-08,0.02205010514881409
665862,358,16,0.7743763594221817,0.7743763192827731,4.01394086857465e-08,0.027430619508313714
665862,358,12,0.7743763594221817,0.7743763563650722,3.0571095654963187e-09,0.005057603965034637
665862,358,10,0.7743763594221817,0.772983056552617,0.0013933028695647387,29.937831718213072
665862,358,8,0.7743763594221817,0.7743763058923536,5.352982812567575e-08,0.036370959156371806
678662,355,20,0.7207612235593209,0.7201414565975442,0.0006197669617766799,6.047905907040554
678662,355,16,0.7207612235593209,0.7205135756446401,0.00024764791468079306,4.821106848601124
678662,355,12,0.7207612235593209,0.72049916324663,0.0002620603126909371,3.755772916414837
678662,355,10,0.7207612235593209,0.7207150725746992,4.615098462168454e-05,2.1782085897882038
678662,355,8,0.7207612235593209,0.7205303403554635,0.00023088320385744598,3.9014452602050107
592206,399,20,0.7349282411515247,0.7347470320678847,0.0001812090836399438,2.4248595405172626
592206,399,16,0.7349282411515247,0.7347789239618452,0.0001493171896794765,1.5949577425300545
592206,399,12,0.7349282411515247,0.7347326837114936,0.00019555744003108,3.0281806872786876
592206,399,10,0.7349282411515247,0.7346409081066165,0.0002873330449081335,2.5084808727034247
592206,399,8,0.7349282411515247,0.7347464073782662,0.00018183377325842187,2.6523763883586677
667452,143,20,0.7278539095355097,0.7270733154981256,0.0007805940373840636,6.932969999866103
667452,143,16,0.7278539095355097,0.7268009292023645,0.0010529803331451593,18.305222972933173
667452,143,12,0.7278539095355097,0.7270032420638368,0.0008506674716728391,11.320456450697048
667452,143,10,0.7278539095355097,0.7268008722035827,0.0010530373319269648,18.236270455333
667452,143,8,0.7278539095355097,0.7268402478758282,0.0010136616596814196,13.268328233268806
