,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Belt, Brandon]",-2.762,0.42,-3.538,-1.965,0.003,0.005,16598.0,5600.0,1.0
"alpha[Alberto, Hanser]",-2.422,0.48,-3.289,-1.495,0.004,0.006,15816.0,6303.0,1.0
"alpha[Bruce, Jay]",-1.822,0.291,-2.357,-1.27,0.003,0.003,13142.0,5802.0,1.0
"alpha[Verdugo, Alex]",-2.099,0.166,-2.41,-1.792,0.001,0.002,13776.0,5884.0,1.0
"alpha[Beckham, Tim]",-2.74,0.436,-3.576,-1.942,0.004,0.005,14292.0,6393.0,1.0
"alpha[Cabrera, Melky]",-3.202,0.328,-3.814,-2.59,0.003,0.004,14113.0,6222.0,1.0
"alpha[Kingery, Scott]",-2.156,0.269,-2.666,-1.666,0.002,0.003,13493.0,6570.0,1.0
"alpha[Jay, Jon]",-2.588,0.334,-3.216,-1.963,0.003,0.004,14042.0,6305.0,1.0
"alpha[Velasquez, Vince]",-2.12,0.507,-3.058,-1.14,0.004,0.007,21053.0,5440.0,1.0
"alpha[Renfroe, Hunter]",-2.567,0.193,-2.928,-2.211,0.002,0.002,12069.0,6487.0,1.0
"alpha[Osuna, José]",-2.025,0.371,-2.73,-1.337,0.003,0.004,17837.0,5780.0,1.0
"alpha[Yelich, Christian]",-2.721,0.199,-3.076,-2.333,0.002,0.002,14950.0,6643.0,1.0
"alpha[Goodrum, Niko]",-2.23,0.333,-2.88,-1.613,0.003,0.004,16615.0,6267.0,1.0
"alpha[Smith, Dominic]",-2.789,0.297,-3.323,-2.219,0.002,0.004,14948.0,6375.0,1.0
"alpha[Williams, Nick]",-2.381,0.383,-3.082,-1.648,0.003,0.004,14314.0,6544.0,1.0
"alpha[Santana, Danny]",-2.519,0.302,-3.077,-1.953,0.003,0.004,12720.0,5580.0,1.0
"alpha[Garcia, Greg]",-2.174,0.517,-3.112,-1.186,0.004,0.007,20144.0,5280.0,1.0
"alpha[Freeman, Mike]",-2.111,0.454,-3.0,-1.286,0.004,0.006,16591.0,5479.0,1.0
"alpha[Urshela, Gio]",-2.148,0.525,-3.115,-1.139,0.004,0.007,20314.0,5694.0,1.0
"alpha[Saladino, Tyler]",-2.04,0.498,-2.939,-1.075,0.004,0.006,15728.0,5539.0,1.0
"alpha[Hampson, Garrett]",-1.857,0.211,-2.243,-1.463,0.002,0.002,14639.0,6919.0,1.0
"alpha[Dahl, David]",-2.327,0.237,-2.778,-1.878,0.002,0.003,13482.0,6113.0,1.0
"alpha[Vargas, Ildemaro]",-2.137,0.488,-3.039,-1.212,0.004,0.007,15809.0,5470.0,1.0
"alpha[Martínez, José A.]",-2.721,0.292,-3.278,-2.185,0.003,0.003,13608.0,6589.0,1.0
"alpha[Williamson, Mac]",-2.332,0.36,-2.987,-1.641,0.003,0.004,14554.0,6499.0,1.0
"alpha[Gallo, Joey]",-2.268,0.185,-2.628,-1.939,0.002,0.002,13813.0,6623.0,1.0
"alpha[Tilson, Charlie]",-1.766,0.294,-2.297,-1.203,0.002,0.003,14434.0,6286.0,1.0
"alpha[Parker, Jarrett]",-2.383,0.492,-3.341,-1.5,0.004,0.007,17618.0,5897.0,1.0
"alpha[Austin, Tyler]",-2.244,0.39,-2.969,-1.51,0.003,0.004,14760.0,6580.0,1.0
"alpha[Gore, Terrance]",-1.676,0.36,-2.348,-1.006,0.003,0.005,15497.0,5817.0,1.0
"alpha[Canha, Mark]",-2.513,0.189,-2.877,-2.169,0.002,0.002,12914.0,6273.0,1.0
"alpha[Gómez, Carlos]",-2.114,0.355,-2.764,-1.425,0.003,0.004,13120.0,6578.0,1.0
"alpha[Biggio, Cavan]",-2.319,0.341,-2.993,-1.708,0.003,0.004,13096.0,5808.0,1.0
"alpha[Puello, César]",-1.576,0.318,-2.187,-0.995,0.003,0.004,14088.0,6889.0,1.0
"alpha[Bonifacio, Jorge]",-2.276,0.336,-2.89,-1.629,0.003,0.004,13920.0,6107.0,1.0
"alpha[Joyce, Matt]",-2.41,0.29,-2.945,-1.852,0.002,0.003,16157.0,6613.0,1.0
"alpha[Pence, Hunter]",-2.718,0.356,-3.4,-2.077,0.003,0.004,15320.0,6298.0,1.0
"alpha[González, Carlos]",-2.287,0.364,-2.945,-1.578,0.003,0.004,15715.0,6334.0,1.0
"alpha[Santana, Domingo]",-2.467,0.27,-2.99,-1.982,0.002,0.003,13032.0,6605.0,1.0
"alpha[Newman, Kevin]",-2.137,0.51,-3.061,-1.129,0.004,0.007,18379.0,5240.0,1.0
"alpha[McCutchen, Andrew]",-2.756,0.221,-3.159,-2.328,0.002,0.003,15934.0,6069.0,1.0
"alpha[Lowe, Brandon]",-2.488,0.369,-3.161,-1.794,0.003,0.004,16257.0,6578.0,1.0
"alpha[Owings, Chris]",-2.209,0.358,-2.885,-1.538,0.003,0.004,15765.0,6330.0,1.0
"alpha[Astudillo, Willians]",-2.345,0.478,-3.282,-1.472,0.004,0.006,14668.0,5320.0,1.0
"alpha[Swihart, Blake]",-2.849,0.42,-3.663,-2.088,0.003,0.005,15867.0,6931.0,1.0
"alpha[Adrianza, Ehire]",-2.394,0.371,-3.087,-1.699,0.003,0.004,15363.0,6271.0,1.0
"alpha[Urena, Richard]",-2.105,0.515,-3.064,-1.133,0.004,0.007,18134.0,5157.0,1.0
"alpha[Pearce, Steve]",-2.124,0.473,-3.007,-1.252,0.003,0.006,20022.0,5813.0,1.0
"alpha[Delmonico, Nicky]",-2.462,0.384,-3.217,-1.744,0.003,0.005,15382.0,6089.0,1.0
"alpha[Murphy, Tom]",-2.3,0.505,-3.306,-1.378,0.004,0.007,17486.0,5840.0,1.0
"alpha[O'Brien, Peter]",-2.163,0.469,-3.074,-1.299,0.004,0.006,17430.0,5663.0,1.0
"alpha[Eaton, Adam]",-2.121,0.189,-2.49,-1.778,0.002,0.002,12820.0,6932.0,1.0
"alpha[Pérez, Hernán]",-2.462,0.41,-3.227,-1.695,0.003,0.006,16894.0,5782.0,1.0
"alpha[Gerber, Mike]",-2.293,0.471,-3.144,-1.395,0.003,0.007,19280.0,5478.0,1.0
"alpha[Zobrist, Ben]",-2.429,0.406,-3.208,-1.689,0.003,0.005,16269.0,6041.0,1.0
"alpha[Davis, Khris]",-2.033,0.449,-2.899,-1.21,0.003,0.006,19255.0,5048.0,1.0
"alpha[Schebler, Scott]",-1.645,0.344,-2.291,-1.004,0.003,0.004,14621.0,6326.0,1.0
"alpha[Solarte, Yangervis]",-2.085,0.44,-2.909,-1.256,0.004,0.005,14971.0,6058.0,1.0
"alpha[Rondon, José]",-2.322,0.454,-3.196,-1.506,0.003,0.005,17320.0,6129.0,1.0
"alpha[Galloway, Isaac]",-2.025,0.436,-2.839,-1.209,0.003,0.005,17009.0,5744.0,1.0
"alpha[Estrada, Thairo]",-2.4,0.419,-3.198,-1.629,0.003,0.005,14584.0,6337.0,1.0
"alpha[Peterson, Dustin]",-2.338,0.443,-3.152,-1.493,0.004,0.005,15488.0,6079.0,1.0
"alpha[Moran, Colin]",-2.248,0.512,-3.174,-1.248,0.004,0.008,18080.0,5261.0,1.0
"alpha[Shuck, JB]",-2.196,0.417,-3.002,-1.443,0.003,0.005,14460.0,6248.0,1.0
"alpha[Kemp, Matt]",-2.448,0.398,-3.166,-1.659,0.003,0.004,14644.0,6434.0,1.0
"alpha[Martin, Jason]",-2.122,0.288,-2.659,-1.581,0.003,0.003,13237.0,6633.0,1.0
"alpha[Bourjos, Peter]",-1.635,0.44,-2.468,-0.794,0.003,0.005,16304.0,6209.0,1.0
"alpha[Brito, Sócrates]",-2.355,0.387,-3.092,-1.645,0.003,0.005,14942.0,6535.0,1.0
"alpha[Herrera, Rosell]",-2.46,0.365,-3.12,-1.741,0.003,0.004,17001.0,6524.0,1.0
"alpha[Joe, Connor]",-2.417,0.268,-2.943,-1.927,0.002,0.003,13755.0,6357.0,1.0
"alpha[Zagunis, Mark]",-2.425,0.462,-3.281,-1.556,0.004,0.007,16428.0,5727.0,1.0
"alpha[Jackson, Drew]",-2.193,0.486,-3.125,-1.313,0.004,0.007,19164.0,5745.0,1.0
"alpha[Margot, Manuel]",-1.269,0.164,-1.584,-0.966,0.001,0.002,12579.0,6117.0,1.0
